Pattern, Group, Path, IndName, Args, Line
1,,/package-question-1/src/org/package1/A.java,Base64.getEncoder,,20
1,,/package-question-1/src/org/package1/A.java,Cipher.getInstance,algorithm,18
1,,/package-question-1/src/org/package1/A.java,cipher.doFinal,strToEncrypt.getBytes("UTF-8"),21
1,,/package-question-1/src/org/package1/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey,19
1,,/package-question-1/src/org/package1/A.java,e.toString,,23
1,,/package-question-1/src/org/package1/A.java,encodeToString,cipher.doFinal(strToEncrypt.getBytes("UTF-8")),20
1,,/package-question-1/src/org/package1/A.java,encrypt,algorithm | strToEncrypt | secret,11
1,,/package-question-1/src/org/package1/A.java,println,"Error while encrypting: " + e.toString(),23
1,,/package-question-1/src/org/package1/A.java,secret.getBytes,"UTF-8",16
1,,/package-question-1/src/org/package1/A.java,strToEncrypt.getBytes,"UTF-8",21
1,,/package-question-2/src/org/package1/B.java,MessageDigest.getInstance,algorithm,14
1,,/package-question-2/src/org/package1/B.java,e.printStackTrace,,20
1,,/package-question-2/src/org/package1/B.java,hashTemplate,data | algorithm | false,9
1,,/package-question-2/src/org/package1/B.java,md.digest,,18
1,,/package-question-2/src/org/package1/B.java,md.digest,,17
1,,/package-question-2/src/org/package1/B.java,md.update,data,15
1,,/package-question-2/src/org/package1/B.java,println,md.digest(),17
1,,/package-question-3/src/org/package1/A.java,VAR1.clone,,22
1,,/package-question-3/src/org/package1/A.java,b.m2,sSpec | "encryptthis",18
1,,/package-question-3/src/org/package1/A.java,getBytes,,10
1,,/package-question-3/src/org/package1/A.java,getRandomSecretKey,secret,16
1,,/package-question-3/src/org/package1/A.java,m2,secret | algorithm,12
1,,/package-question-3/src/org/package1/A.java,secureRandom.nextBytes,VAR2,24
1,,/package-question-3/src/org/package2/B.java,Base64.getEncoder,,27
1,,/package-question-3/src/org/package2/B.java,Cipher.getInstance,algorithm,23
1,,/package-question-3/src/org/package2/B.java,cipher.doFinal,strTom5.getBytes(),26
1,,/package-question-3/src/org/package2/B.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey | ivSpec,25
1,,/package-question-3/src/org/package2/B.java,e.toString,,29
1,,/package-question-3/src/org/package2/B.java,encodeToString,ciphertext,27
1,,/package-question-3/src/org/package2/B.java,m1,,22
1,,/package-question-3/src/org/package2/B.java,println,"Error while m5ing: " + e.toString(),29
1,,/package-question-3/src/org/package2/B.java,random.nextBytes,iv,16
1,,/package-question-3/src/org/package2/B.java,strTom5.getBytes,,26
1,,/package-question-4/src/org/package1/A.java,Base64.getEncoder,,57
1,,/package-question-4/src/org/package1/A.java,Base64.getEncoder,,41
1,,/package-question-4/src/org/package1/A.java,Cipher.getInstance,algorithm,54
1,,/package-question-4/src/org/package1/A.java,Cipher.getInstance,algorithm,38
1,,/package-question-4/src/org/package1/A.java,SecretKeyFactory.getInstance,"PBEWithMD5AndDES",21
1,,/package-question-4/src/org/package1/A.java,e.printStackTrace,,26
1,,/package-question-4/src/org/package1/A.java,e.printStackTrace,,29
1,,/package-question-4/src/org/package1/A.java,e.toString,,43
1,,/package-question-4/src/org/package1/A.java,e.toString,,59
1,,/package-question-4/src/org/package1/A.java,encodeToString,ciphertext,41
1,,/package-question-4/src/org/package1/A.java,encodeToString,ciphertext,57
1,,/package-question-4/src/org/package1/A.java,keyFactory.generateSecret,pbe,22
1,,/package-question-4/src/org/package1/A.java,m1,,50
1,,/package-question-4/src/org/package1/A.java,m1,,37
1,,/package-question-4/src/org/package1/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),40
1,,/package-question-4/src/org/package1/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),56
1,,/package-question-4/src/org/package1/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key | pbeKey,55
1,,/package-question-4/src/org/package1/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key | pbeKey,39
1,,/package-question-4/src/org/package1/A.java,println,"Error while encrypting: " + e.toString(),43
1,,/package-question-4/src/org/package1/A.java,println,"Error while encrypting: " + e.toString(),59
1,,/package-question-4/src/org/package1/A.java,random.nextBytes,bytes,53
1,,/package-question-4/src/org/package1/A.java,strToEncrypt.getBytes,,40
1,,/package-question-4/src/org/package1/A.java,strToEncrypt.getBytes,,56
1,,/package-question-4/src/org/package1/A.java,toCharArray,,20
1,,/package-question-4/src/org/package2/B.java,VAR1.clone,,20
1,,/package-question-4/src/org/package2/B.java,a.m2,"encrypt" | pbKey,17
1,,/package-question-4/src/org/package2/B.java,getBytes,"UTF8",11
1,,/package-question-4/src/org/package2/B.java,getRandomSecretKey,pbeKey,15
1,,/package-question-4/src/org/package2/B.java,m2,pbeKey | 1000,12
1,,/package-question-4/src/org/package2/B.java,secureRandom.nextBytes,VAR2,22
1,,/package-question-5/src/org/package1/A.java,Base64.getEncoder,,24
1,,/package-question-5/src/org/package1/A.java,Cipher.getInstance,algorithm,20
