Pattern, Group, Path, IndName, Args, Line
1,,/package-question-1/src/org/package1/A.java,Base64.getEncoder,,21
1,,/package-question-1/src/org/package1/A.java,Cipher.getInstance,algorithm,19
1,,/package-question-1/src/org/package1/A.java,cipher.doFinal,strToEncrypt.getBytes("UTF-8"),21
1,,/package-question-1/src/org/package1/A.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey,20
1,,/package-question-1/src/org/package1/A.java,e.toString,,23
1,,/package-question-1/src/org/package1/A.java,encodeToString,cipher.doFinal(strToEncrypt.getBytes("UTF-8")),21
1,,/package-question-1/src/org/package1/A.java,ma2,algorithm | strToEncrypt | secret,12
1,,/package-question-1/src/org/package1/A.java,println,"Error while encrypting: " + e.toString(),23
1,,/package-question-1/src/org/package1/A.java,secret.getBytes,"UTF-8",17
1,,/package-question-1/src/org/package1/A.java,strToEncrypt.getBytes,"UTF-8",21
1,,/package-question-10/src/org/package1/A.java,Base64.getEncoder,,58
1,,/package-question-10/src/org/package1/A.java,Base64.getEncoder,,28
1,,/package-question-10/src/org/package1/A.java,Cipher.getInstance,algorithm,55
1,,/package-question-10/src/org/package1/A.java,Cipher.getInstance,algorithm,24
1,,/package-question-10/src/org/package1/A.java,KeyGenerator.getInstance,"AES",20
1,,/package-question-10/src/org/package1/A.java,SecretKeyFactory.getInstance,algo,51
1,,/package-question-10/src/org/package1/A.java,b.mb4,algorithm | "Encryptthis",40
1,,/package-question-10/src/org/package1/A.java,b.mb7,"encrypt" | ivSpec,75
1,,/package-question-10/src/org/package1/A.java,cipher.doFinal,plaintext.getBytes(),27
1,,/package-question-10/src/org/package1/A.java,cipher.init,Cipher.ENCRYPT_MODE | keyGenerator | ivSpec,26
1,,/package-question-10/src/org/package1/A.java,e.toString,,60
1,,/package-question-10/src/org/package1/A.java,encodeToString,ciphertext,58
1,,/package-question-10/src/org/package1/A.java,encodeToString,ciphertext,28
1,,/package-question-10/src/org/package1/A.java,getBytes,,52
1,,/package-question-10/src/org/package1/A.java,getBytes,,68
1,,/package-question-10/src/org/package1/A.java,keyFactory.generateSecret,spec,54
1,,/package-question-10/src/org/package1/A.java,keyGen.generateKey,,22
1,,/package-question-10/src/org/package1/A.java,keyGen.init,256,21
1,,/package-question-10/src/org/package1/A.java,ma3,algo,35
1,,/package-question-10/src/org/package1/A.java,ma6,initVec,69
1,,/package-question-10/src/org/package1/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),57
1,,/package-question-10/src/org/package1/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key,56
1,,/package-question-10/src/org/package1/A.java,plaintext.getBytes,,27
1,,/package-question-10/src/org/package1/A.java,println,"Error while encrypting: " + e.toString(),60
1,,/package-question-10/src/org/package1/A.java,strToEncrypt.getBytes,,57
1,,/package-question-10/src/org/package2/B.java,Base64.getDecoder,,53
1,,/package-question-10/src/org/package2/B.java,Base64.getEncoder,,85
1,,/package-question-10/src/org/package2/B.java,Cipher.getInstance,algorithm,51
1,,/package-question-10/src/org/package2/B.java,Cipher.getInstance,algorithm,81
1,,/package-question-10/src/org/package2/B.java,KeyGenerator.getInstance,algo,42
1,,/package-question-10/src/org/package2/B.java,a.ma1,new IvParameterSpec(iv),33
1,,/package-question-10/src/org/package2/B.java,a.ma4,algorithm,69
1,,/package-question-10/src/org/package2/B.java,cipher.doFinal,Base64.getDecoder().decode(strTom5),53
1,,/package-question-10/src/org/package2/B.java,cipher.doFinal,strToEncrypt.getBytes(),84
1,,/package-question-10/src/org/package2/B.java,cipher.init,Cipher.DECRYPT_MODE | secretKey | ivSpec,52
1,,/package-question-10/src/org/package2/B.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey | ivSpec,83
1,,/package-question-10/src/org/package2/B.java,decode,strTom5,53
1,,/package-question-10/src/org/package2/B.java,e.toString,,87
1,,/package-question-10/src/org/package2/B.java,e.toString,,55
1,,/package-question-10/src/org/package2/B.java,encodeToString,ciphertext,85
1,,/package-question-10/src/org/package2/B.java,getBytes,,16
1,,/package-question-10/src/org/package2/B.java,keyGenerator.generateKey,,44
1,,/package-question-10/src/org/package2/B.java,keyGenerator.init,256,43
1,,/package-question-10/src/org/package2/B.java,mb2,"!2345".getBytes(),16
1,,/package-question-10/src/org/package2/B.java,mb3,seed,17
1,,/package-question-10/src/org/package2/B.java,mb6,algo,64
1,,/package-question-10/src/org/package2/B.java,println,"Error while encrypting: " + e.toString(),87
1,,/package-question-10/src/org/package2/B.java,println,"Error while m5ing: " + e.toString(),55
1,,/package-question-10/src/org/package2/B.java,random.nextBytes,iv,31
1,,/package-question-10/src/org/package2/B.java,random.nextBytes,iv,48
1,,/package-question-10/src/org/package2/B.java,random.setSeed,seed,30
1,,/package-question-10/src/org/package2/B.java,secureRandom.nextBytes,valuecloned,23
1,,/package-question-10/src/org/package2/B.java,strToEncrypt.getBytes,,84
1,,/package-question-10/src/org/package2/B.java,value.clone,,21
1,,/package-question-2/src/org/package1/B.java,MessageDigest.getInstance,algorithm,14
1,,/package-question-2/src/org/package1/B.java,e.printStackTrace,,20
1,,/package-question-2/src/org/package1/B.java,hashTemplate,data | algorithm | false,9
1,,/package-question-2/src/org/package1/B.java,md.digest,,18
1,,/package-question-2/src/org/package1/B.java,md.digest,,17
1,,/package-question-2/src/org/package1/B.java,md.update,data,15
1,,/package-question-2/src/org/package1/B.java,println,md.digest(),17
1,,/package-question-3/src/org/package1/A.java,b.mb2,sSpec | "encryptthis",17
1,,/package-question-3/src/org/package1/A.java,getBytes,,9
1,,/package-question-3/src/org/package1/A.java,ma2,secret | algorithm,11
1,,/package-question-3/src/org/package2/B.java,Base64.getEncoder,,27
1,,/package-question-3/src/org/package2/B.java,Cipher.getInstance,algorithm,23
1,,/package-question-3/src/org/package2/B.java,cipher.doFinal,strTom5.getBytes(),26
1,,/package-question-3/src/org/package2/B.java,cipher.init,Cipher.ENCRYPT_MODE | secretKey | ivSpec,25
1,,/package-question-3/src/org/package2/B.java,e.toString,,29
1,,/package-question-3/src/org/package2/B.java,encodeToString,ciphertext,27
1,,/package-question-3/src/org/package2/B.java,mb1,,22
1,,/package-question-3/src/org/package2/B.java,println,"Error while m5ing: " + e.toString(),29
1,,/package-question-3/src/org/package2/B.java,random.nextBytes,iv,16
1,,/package-question-3/src/org/package2/B.java,strTom5.getBytes,,26
1,,/package-question-4/src/org/package1/A.java,Base64.getEncoder,,22
1,,/package-question-4/src/org/package1/A.java,Cipher.getInstance,"AES/ECB/PKCS5PADDING",19
1,,/package-question-4/src/org/package1/A.java,SecretKeyFactory.getInstance,"PBEWithMD5AndDES",32
1,,/package-question-4/src/org/package1/A.java,e.printStackTrace,,36
1,,/package-question-4/src/org/package1/A.java,e.printStackTrace,,38
1,,/package-question-4/src/org/package1/A.java,e.toString,,24
1,,/package-question-4/src/org/package1/A.java,encodeToString,ciphertext,22
1,,/package-question-4/src/org/package1/A.java,keyFactory.generateSecret,pbe,33
1,,/package-question-4/src/org/package1/A.java,ma3,,18
1,,/package-question-4/src/org/package1/A.java,pbeCipher.doFinal,strToEncrypt.getBytes(),21
1,,/package-question-4/src/org/package1/A.java,pbeCipher.init,Cipher.ENCRYPT_MODE | key | pbeKey,20
1,,/package-question-4/src/org/package1/A.java,println,"Error while encrypting: " + e.toString(),24
1,,/package-question-4/src/org/package1/A.java,strToEncrypt.getBytes,,21
1,,/package-question-4/src/org/package1/A.java,toCharArray,,31
1,,/package-question-4/src/org/package2/B.java,a.ma1,"encrypt" | pbKey,18
1,,/package-question-5/src/org/package1/A.java,Base64.getEncoder,,24
1,,/package-question-5/src/org/package1/A.java,Cipher.getInstance,algorithm,20
1,,/package-question-5/src/org/package1/A.java,KeyGenerator.getInstance,"AES",16
